wavelength,angle,psi,delta
935.701538,75.02,5.945163,151.792862
938.828125,65.02,20.825003,173.457108
938.828125,70.02,14.359037,169.753464
938.828125,75.02,5.875348,153.142532
941.954285,65.02,20.822994,173.81076
941.954285,70.02,14.337431,170.365234
941.954285,75.02,5.829769,154.748718
945.0802,65.02,20.81226,174.195313
945.0802,70.02,14.325123,170.972092
945.0802,75.02,5.754639,156.281631
948.20575,65.02,20.813643,174.569382
948.20575,70.02,14.314865,171.603989
948.20575,75.02,5.690982,157.80127
951.331055,65.02,20.794859,174.89447
951.331055,70.02,14.287827,172.146042
951.331055,75.02,5.647642,159.333939
954.455872,65.02,20.801266,175.246475
954.455872,70.02,14.26495,172.688904
954.455872,75.02,5.585743,160.624466
957.580444,65.02,20.786686,175.563492
957.580444,70.02,14.264271,173.212021
957.580444,75.02,5.557981,162.135696
960.704895,65.02,20.77681,175.908401
960.704895,70.02,14.246951,173.764832
960.704895,75.02,5.507032,163.522278
963.828796,65.02,20.775442,176.186295
963.828796,70.02,14.225156,174.283905
963.828796,75.02,5.447353,164.912216
966.952454,65.02,20.758865,176.534149
966.952454,70.02,14.237065,174.789383
966.952454,75.02,5.420185,166.491211
970.075806,65.02,20.759136,176.85791
970.075806,70.02,14.229385,175.342209
970.075806,75.02,5.363089,167.9021
973.198853,65.02,20.743456,177.172546
973.198853,70.02,14.189587,175.868759
973.198853,75.02,5.340586,169.446335
976.321472,65.02,20.727406,177.496201
976.321472,70.02,14.177105,176.406097
976.321472,75.02,5.316712,170.908386
979.443848,65.02,20.716488,177.816574
979.443848,70.02,14.153041,176.975769
979.443848,75.02,5.271794,172.488449
982.565918,65.02,20.712337,178.109924
982.565918,70.02,14.120525,177.496628
982.565918,75.02,5.242198,173.92598
985.687622,65.02,20.688047,178.424835
985.687622,70.02,14.095871,177.936356
985.687622,75.02,5.208128,175.40239
988.80896,65.02,20.685787,178.744736
988.80896,70.02,14.092546,178.484528
988.80896,75.02,5.194913,176.965912
991.930054,65.02,20.658968,179.046219
991.930054,70.02,14.073157,178.989639
991.930054,75.02,5.164256,178.524139
995.050781,65.02,20.645723,179.353699
995.050781,70.02,14.054536,179.536835
995.050781,75.02,5.155136,179.976135
998.171265,65.02,20.633345,179.647018
998.171265,70.02,14.049612,180.026291
998.171265,75.02,5.12767,181.513885
