wavelength,angle,psi,delta
813.515259,65.02,17.995178,158.830704
813.515259,70.02,11.840236,143.852768
813.515259,75.02,7.17331,91.663963
816.654419,65.02,17.999441,159.368134
816.654419,70.02,11.787492,144.753632
816.654419,75.02,6.997224,92.328056
819.793152,65.02,17.999773,159.919708
819.793152,70.02,11.740962,145.602478
819.793152,75.02,6.807298,93.025826
822.931519,65.02,17.990229,160.430313
822.931519,70.02,11.697846,146.473129
822.931519,75.02,6.62722,93.562454
826.069702,65.02,17.970219,160.954437
826.069702,70.02,11.646482,147.350143
826.069702,75.02,6.457022,94.165459
829.20752,65.02,17.973053,161.508484
829.20752,70.02,11.588985,148.177139
829.20752,75.02,6.273067,94.751518
832.34491,65.02,17.955822,161.997955
832.34491,70.02,11.544959,149.051453
832.34491,75.02,6.109163,95.491959
835.482239,65.02,17.937122,162.533112
835.482239,70.02,11.502407,149.97113
835.482239,75.02,5.929223,96.266922
838.619019,65.02,17.936773,163.07634
838.619019,70.02,11.442925,150.781326
838.619019,75.02,5.759377,96.946045
841.755554,65.02,17.93791,163.548874
841.755554,70.02,11.408085,151.576309
841.755554,75.02,5.591635,97.476349
844.891785,65.02,17.923563,164.059662
844.891785,70.02,11.360096,152.432678
844.891785,75.02,5.41897,98.140427
848.027527,65.02,17.909925,164.568497
848.027527,70.02,11.308339,153.268631
848.027527,75.02,5.249012,98.939651
851.163086,65.02,17.898748,165.05748
851.163086,70.02,11.268837,154.182343
851.163086,75.02,5.087563,99.645569
854.298462,65.02,17.891211,165.55748
854.298462,70.02,11.230206,154.967056
854.298462,75.02,4.921807,100.282341
857.433289,65.02,17.863504,166.035233
857.433289,70.02,11.190642,155.790375
857.433289,75.02,4.754452,100.973946
860.567871,65.02,17.848869,166.501755
860.567871,70.02,11.145373,156.582962
860.567871,75.02,4.601145,101.77018
863.702148,65.02,17.84231,166.976166
863.702148,70.02,11.10088,157.404602
863.702148,75.02,4.436162,102.633904
866.836121,65.02,17.837959,167.466644
866.836121,70.02,11.051861,158.250488
866.836121,75.02,4.278056,103.437553
869.969727,65.02,17.819675,167.924271
869.969727,70.02,11.030855,159.098038
869.969727,75.02,4.121547,104.286324
873.103027,65.02,17.804886,168.38382
873.103027,70.02,10.994417,159.924667
873.103027,75.02,3.962053,105.196526
876.236023,65.02,17.792877,168.826065
876.236023,70.02,10.951908,160.651581
876.236023,75.02,3.815614,105.953461
879.368652,65.02,17.778669,169.303864
879.368652,70.02,10.908058,161.443787
879.368652,75.02,3.65694,106.879822
882.500977,65.02,17.766897,169.754425
882.500977,70.02,10.874806,162.295654
882.500977,75.02,3.504109,108.224403
885.632996,65.02,17.74803,170.156555
885.632996,70.02,10.83973,163.050079
885.632996,75.02,3.36232,109.056511
888.764771,65.02,17.733997,170.613495
888.764771,70.02,10.80491,163.815399
888.764771,75.02,3.21585,110.1689
891.896118,65.02,17.713711,171.062317
891.896118,70.02,10.766967,164.611862
891.896118,75.02,3.059199,110.977295
895.027161,65.02,17.691059,171.491516
895.027161,70.02,10.733918,165.37323
895.027161,75.02,2.919066,112.492157
898.157837,65.02,17.686443,171.934021
898.157837,70.02,10.699633,166.168701
898.157837,75.02,2.77312,113.679146
901.288269,65.02,17.666813,172.361069
901.288269,70.02,10.666155,166.912323
901.288269,75.02,2.634448,115.246063
904.418335,65.02,17.659006,172.787521
904.418335,70.02,10.634031,167.653412
904.418335,75.02,2.497795,116.50589
907.548157,65.02,17.644751,173.200912
907.548157,70.02,10.613517,168.438843
907.548157,75.02,2.362973,118.100685
910.677551,65.02,17.623386,173.609833
910.677551,70.02,10.57308,169.213013
910.677551,75.02,2.23006,119.921745
913.806641,65.02,17.611393,174.039642
913.806641,70.02,10.543573,169.945755
913.806641,75.02,2.102098,121.7612
916.935547,65.02,17.594776,174.426086
916.935547,70.02,10.518139,170.662476
916.935547,75.02,1.967499,123.411507
920.063843,65.02,17.58334,174.848679
920.063843,70.02,10.499692,171.403717
920.063843,75.02,1.843955,125.727806
923.1922,65.02,17.551128,175.255814
923.1922,70.02,10.473907,172.147415
923.1922,75.02,1.724815,128.336075
926.319946,65.02,17.530193,175.621109
926.319946,70.02,10.432626,172.900528
926.319946,75.02,1.611709,131.126831
929.447449,65.02,17.523474,176.02597
929.447449,70.02,10.39895,173.599869
929.447449,75.02,1.502497,134.311508
932.574585,65.02,17.507185,176.383606
932.574585,70.02,10.381402,174.299896
932.574585,75.02,1.39516,138.105103
935.701538,65.02,17.493673,176.781235
935.701538,70.02,10.378302,174.96553
935.701538,75.02,1.301177,141.819336
938.828125,65.02,17.471903,177.184036
938.828125,70.02,10.329188,175.698883
938.828125,75.02,1.188313,146.278244
941.954285,65.02,17.455158,177.615738
941.954285,70.02,10.305747,176.545837
941.954285,75.02,1.110684,152.909851
945.0802,65.02,17.416286,178.035828
945.0802,70.02,10.277731,177.278183
945.0802,75.02,1.015747,159.268845
948.20575,65.02,17.422371,178.460358
948.20575,70.02,10.256598,178.096329
948.20575,75.02,0.958942,167.699112
951.331055,65.02,17.388802,178.857834
951.331055,70.02,10.229198,178.860687
951.331055,75.02,0.913475,175.054977
954.455872,65.02,17.381704,179.216232
954.455872,70.02,10.20018,179.492142
954.455872,75.02,0.875034,183.983536
957.580444,65.02,17.357922,179.58374
957.580444,70.02,10.194648,180.195068
957.580444,75.02,0.889324,192.372513
960.704895,65.02,17.344378,179.942642
960.704895,70.02,10.181129,180.935638
960.704895,75.02,0.901604,200.927338
963.828796,65.02,17.328077,180.330414
963.828796,70.02,10.155354,181.560303
963.828796,75.02,0.924074,208.932785
966.952454,65.02,17.312782,180.69696
966.952454,70.02,10.151773,182.224716
966.952454,75.02,0.969349,215.739731
970.075806,65.02,17.310383,181.038788
970.075806,70.02,10.140137,182.905579
970.075806,75.02,1.02992,222.755432
973.198853,65.02,17.279587,181.402237
973.198853,70.02,10.11646,183.593506
973.198853,75.02,1.101468,227.895294
976.321472,65.02,17.260813,181.725143
976.321472,70.02,10.096547,184.233612
976.321472,75.02,1.175762,232.769379
979.443848,65.02,17.241976,182.112595
979.443848,70.02,10.071554,184.922195
979.443848,75.02,1.258878,237.713501
982.565918,65.02,17.234209,182.466034
982.565918,70.02,10.034858,185.662216
982.565918,75.02,1.334379,241.761292
985.687622,65.02,17.205439,182.800095
985.687622,70.02,10.021794,186.228836
985.687622,75.02,1.430656,244.661346
988.80896,65.02,17.192583,183.140701
988.80896,70.02,10.008101,186.927353
988.80896,75.02,1.524601,247.739624
991.930054,65.02,17.167294,183.462372
991.930054,70.02,9.98789,187.56839
991.930054,75.02,1.625529,250.336761
995.050781,65.02,17.134844,183.829117
995.050781,70.02,9.983793,188.215012
995.050781,75.02,1.71519,252.784943
998.171265,65.02,17.129833,184.144592
998.171265,70.02,9.979423,188.808197
998.171265,75.02,1.81172,254.923447
