Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Psi (65.02, 70.02, 75.02°)	Delta (65.02, 70.02, 75.02°)				
929.447449	16.573671	168.325363	9.585901	158.548325	3.552425	82.328438	
932.574585	16.552481	168.738449	9.562320	159.310532	3.416583	81.767860	
935.701538	16.534693	169.163544	9.530645	160.039917	3.283875	81.767975	
938.828125	16.522966	169.573410	9.485979	160.828125	3.142488	81.708076	
941.954285	16.517029	170.047302	9.456417	161.712784	2.986599	81.877792	
945.080200	16.497503	170.491440	9.416453	162.530594	2.840110	81.095436	
948.205750	16.485300	170.980118	9.392831	163.400436	2.688472	80.620285	
951.331055	16.482746	171.421799	9.340728	164.193665	2.558105	80.687386	
954.455872	16.468218	171.796021	9.321372	164.960587	2.418680	80.302193	
957.580444	16.456959	172.185486	9.301191	165.723465	2.286629	79.837120	
960.704895	16.445419	172.595734	9.271833	166.503571	2.172377	79.041222	
963.828796	16.426334	172.973175	9.245280	167.231735	2.052263	77.817368	
966.952454	16.417877	173.376587	9.235170	167.953125	1.914878	77.652763	
970.075806	16.415726	173.751404	9.206230	168.694946	1.791331	76.421021	
973.198853	16.398064	174.145065	9.167732	169.459824	1.669590	75.456017	
976.321472	16.375923	174.537476	9.161227	170.205261	1.549734	74.250275	
979.443848	16.371277	174.925217	9.123846	170.925873	1.427284	72.678070	
982.565918	16.358461	175.303726	9.087544	171.643417	1.315719	70.240753	
985.687622	16.333784	175.646500	9.066770	172.363251	1.206738	68.224472	
988.808960	16.328257	176.040268	9.053518	173.168427	1.095711	65.559425	
991.930054	16.306561	176.437027	9.022801	173.835236	0.993119	62.271423	
995.050781	16.294165	176.779648	9.004989	174.546082	0.895297	58.011150	
998.171265	16.283222	177.165314	8.982527	175.246124	0.808833	53.474007	
